model,batch,seq,mode,config,prec,freq,measured_time,measured_energy,temp,gee_bro_time,gee_bro_energy,measured_freq,gee_bro_time_abs_pct_err,gee_bro_energy_abs_pct_err
qwen2model,1,128,prefill,qwen2-1p5b,bf16,600,26.38346944304979,1.953238670657222,56.946204620462055,33.79001456668408,2.1932914920734428,599.9999999999999,28.072673078958527,12.289989186802668
qwen2model,1,128,prefill,qwen2-1p5b,bf16,690,34.39803119412476,2.337167086576278,55.43412033511045,30.452502317593385,2.0780038642567007,689.9999999999998,11.47021715942068,11.088775971906498
qwen2model,1,128,prefill,qwen2-1p5b,bf16,780,34.664760317121235,2.36727276734939,54.91157347204162,27.885109555265917,1.9877407367757087,780.0000000000002,19.557760387879526,16.03245877739046
qwen2model,1,128,prefill,qwen2-1p5b,bf16,870,26.745641515368504,1.9908676060584127,55.26247147049234,25.987034337224937,1.932977644209092,869.9999999999999,2.8363768268847034,2.9077755684584785
qwen2model,1,128,prefill,qwen2-1p5b,bf16,960,27.010772301226247,2.0256243426574736,55.50806972240157,24.479286138313785,1.8890163840693848,960.0000000000005,9.372135437969451,6.74399273899271
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1050,33.92420362119805,2.454947287994909,55.701940491591216,23.2768123164508,1.8939840379915336,1050.0000000000002,31.385825364207133,22.850317509731344
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1140,26.70265186524772,2.235250000299176,56.66709719082985,22.28265414365256,1.9608269065937736,1140.0000000000005,16.552654559929998,12.277064921985119
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1230,26.837667097916476,2.448055892883523,58.04387096774194,21.45828171668275,2.0955705784367966,1230.0000000000002,20.04416166877392,14.39858115459693
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1320,33.97564752114251,3.1937305672648453,59.45764920510816,20.754595562908964,2.3087462096095974,1320.0,38.913318576213435,27.71005064504112
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1410,34.40844683357365,3.4793954375425096,51.708594007244,20.149197358228463,2.5700857901854346,1410.0,41.44113084881206,26.134127714995188
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,510,510.6109551021031,62.6359362463724,61.87344596748485,462.4089329421528,60.22442446624084,509.9999999999999,9.44006815331875,3.850045077391537
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,600,455.7132823126657,59.74887443340166,62.930868167202576,407.9214928586266,55.998844449526025,599.8070739549838,10.487249617018852,6.276319042721982
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,690,409.0486297124549,57.660135257844686,63.90450507614214,367.63021164605885,53.05533513469191,689.9999999999998,10.125548665329001,7.986107043559689
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,780,367.8553899129232,55.85179445880309,64.80294777314963,336.6360051683956,50.75074823705279,780.0,8.486863479672726,9.133182328658913
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,870,335.20641075937374,54.64201152033053,65.87342995169082,313.7219672068778,49.352543797152336,869.9999999999998,6.409317621290489,9.68022145599481
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,960,313.581576534346,53.75722349629916,66.57435897435897,295.5200544808278,48.23013039370575,960.0000000000002,5.759752295760262,10.281582163509462
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,1050,296.1340877744887,55.42099935477973,67.8148861084376,281.00349025828973,48.35696391322235,1050.0000000000002,5.1093738076250075,12.746135082005065
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,1140,279.05530678598507,59.247436494354616,70.00193423597678,269.0017645654777,50.06358768618851,1140.0000000000002,3.602705978359232,15.500837422799188
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,1230,268.42737197875977,64.27704457117329,72.32134831460672,259.0497347900135,53.50384628718378,1220.5377207062602,3.493547293488508,16.760568809383365
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,1320,268.1409290858677,64.3582664521522,72.8082235785416,250.5546598386587,58.94661987820789,1224.1166077738517,6.558591896866775,8.408627006707285
