dataset,feature,module,count,mean,std,p05,p50,p95,max
BF16 GEMM,a_math_work_last_wave,math,3536,0.390802141310129,0.18570165389662122,0.0997506234413965,0.3953703703703703,0.6751054852320674,0.8582175925925926
BF16 GEMM,a_dram_end_full_capacity,dram,3536,0.7407540531798427,0.2026698053251151,0.3162856949060571,0.8268931690393587,0.9052452360683648,0.9414496264889964
BF16 GEMM,a_dram_end_last_wave,dram,3536,0.697745334591158,0.21492804231222154,0.2645974011235317,0.7481148724530724,0.9414496264889964,0.9414496264889964
BF16 GEMM,a_l2_end_full_capacity,l2,3536,0.2999664287097707,0.11656785000933417,0.145524639624539,0.2563179258871285,0.5006701129618993,0.5447641994973045
BF16 GEMM,a_l2_end_last_wave,l2,3536,0.46351604742679997,0.1260574769359241,0.2204332799460507,0.4822054213534944,0.7142857142857143,0.7272727272727273
BF16 GEMM,a_smem_end_full_capacity,smem,3536,0.2592459468201732,0.2026698053251168,0.0947547639316351,0.1731068309606412,0.6837143050939429,0.7555659420672435
BF16 GEMM,a_smem_end_last_wave_busy,smem,3536,0.26260735222753434,0.17142533702760598,0.0585503735110034,0.2518851275469276,0.6069291073084381,0.7557733409479205
BF16 GEMM,a_smem_end_last_wave_lazy,smem,3536,0.16108531337145576,0.16512900217553006,0.0314670138888888,0.0711040884850879,0.5394925398297227,0.7137859331174805
BF16 GEMM,a_smem_end_last_wave,smem,3536,0.21456501120405036,0.16504265395794218,0.0585503735110034,0.1724566649688237,0.6044314566610782,0.7340020924432479
BF16 GEMM,a_math_end_full_capacity,math,3536,0.0,0.0,0.0,0.0,0.0,0.0
BF16 GEMM,a_math_end_last_wave,math,3536,0.0,0.0,0.0,0.0,0.0,0.0
