dataset,activity_intensity,activity_intensity_norm
FP32 GEMM,9.534351681222647,0.23835435603582686
FP32 GEMM,9.534351681222647,0.23835435603582686
FP32 GEMM,9.534351681222647,0.23835435603582686
FP32 GEMM,9.53491578991772,0.23836845849074398
FP32 GEMM,9.535004651694964,0.23837067999383083
FP32 GEMM,12.228468009919785,0.3057060107767463
FP32 GEMM,12.228263206669236,0.30570089079077023
FP32 GEMM,11.817516555383195,0.29543241561442746
FP32 GEMM,11.817516555383195,0.29543241561442746
FP32 GEMM,12.036171946616337,0.30089869866267915
FP32 GEMM,12.036171946616337,0.30089869866267915
FP32 GEMM,12.15175331253911,0.30378817903484967
FP32 GEMM,12.15175331253911,0.30378817903484967
FP32 GEMM,9.443400550559302,0.23608062008556957
FP32 GEMM,9.442184560273745,0.23605022089418767
FP32 GEMM,9.44231150783739,0.23605339452421462
FP32 GEMM,9.443434147437115,0.23608145999188346
FP32 GEMM,8.949249029348957,0.22372706196643882
FP32 GEMM,8.949249029348957,0.22372706196643882
FP32 GEMM,9.441208435079728,0.23602581821849358
FP32 GEMM,9.441537209827494,0.23603403743422055
FP32 GEMM,9.442562592144084,0.23605967151506135
FP32 GEMM,9.443269621550172,0.23607734692125792
FP32 GEMM,9.440886599448929,0.23601777247746228
FP32 GEMM,9.440886599448929,0.23601777247746228
FP32 GEMM,10.177760656378284,0.2544392810594051
FP32 GEMM,10.177760656378284,0.2544392810594051
FP32 GEMM,9.442201913671846,0.2360506547210663
FP32 GEMM,9.441869448664013,0.2360423432505546
FP32 GEMM,9.440886599448929,0.23601777247746228
FP32 GEMM,9.440886599448929,0.23601777247746228
FP32 GEMM,9.690952621930048,0.24226930669266383
FP32 GEMM,9.690952621930048,0.24226930669266383
FP32 GEMM,9.47196324102827,0.23679467405808977
FP32 GEMM,9.471878392697931,0.2367925528893082
FP32 GEMM,9.471852544470977,0.2367919066956606
FP32 GEMM,9.471852544470977,0.2367919066956606
FP32 GEMM,9.471852544470977,0.2367919066956606
FP32 GEMM,9.471852544470977,0.2367919066956606
FP32 GEMM,9.471979274440766,0.2367950748859424
FP32 GEMM,9.471918480733233,0.2367935550715392
FP32 GEMM,13.195487991873355,0.3298810604055809
FP32 GEMM,13.181222889614048,0.32952443948614296
FP32 GEMM,12.744682137749953,0.3186111237964264
FP32 GEMM,12.744682137749953,0.3186111237964264
FP32 GEMM,12.976370363151249,0.32440322163516777
FP32 GEMM,12.976370363151249,0.32440322163516777
FP32 GEMM,13.098641655464364,0.32745994705451203
FP32 GEMM,13.141613160354911,0.3285342146836628
FP32 GEMM,9.668688054690271,0.2417127028705807
FP32 GEMM,9.6686875848744,0.2417126911254025
FP32 GEMM,9.669115973473513,0.24172340064106634
FP32 GEMM,9.669640236960408,0.24173650698431756
FP32 GEMM,9.244004108350083,0.23109580180241193
FP32 GEMM,9.244004108350083,0.23109580180241193
FP32 GEMM,9.669130949228638,0.2417237750279768
FP32 GEMM,9.669167418327868,0.24172468673848976
FP32 GEMM,9.668586584431267,0.2417101661613161
FP32 GEMM,9.668586584431267,0.2417101661613161
FP32 GEMM,10.475746249998995,0.26188878225782425
FP32 GEMM,10.475746249998995,0.26188878225782425
FP32 GEMM,9.668721256099278,0.24171353289035843
FP32 GEMM,9.668753960758144,0.24171435049161374
FP32 GEMM,9.668586584431267,0.2417101661613161
FP32 GEMM,9.668586584431267,0.2417101661613161
FP32 GEMM,10.07045618369233,0.251756719167211
FP32 GEMM,10.07045618369233,0.251756719167211
FP32 GEMM,9.387248527509074,0.2346768456348531
FP32 GEMM,9.387222050555861,0.23467618372334156
FP32 GEMM,9.387072767857465,0.23467245172533757
FP32 GEMM,9.387072767857465,0.23467245172533757
FP32 GEMM,8.987064143609626,0.2246724222289278
FP32 GEMM,8.987064143609626,0.2246724222289278
FP32 GEMM,9.387072767857465,0.23467245172533757
FP32 GEMM,9.387072767857465,0.23467245172533757
FP32 GEMM,9.387072767857465,0.23467245172533757
FP32 GEMM,9.387072767857465,0.23467245172533757
FP32 GEMM,10.218453168744553,0.25545657493578305
FP32 GEMM,10.218453168744553,0.25545657493578305
FP32 GEMM,9.38759667043534,0.23468554904603123
FP32 GEMM,9.388067783062434,0.23469732664251663
FP32 GEMM,9.387072767857465,0.23467245172533757
FP32 GEMM,9.387072767857465,0.23467245172533757
FP32 GEMM,9.786558701716425,0.24465941420521464
FP32 GEMM,9.786558701716425,0.24465941420521464
FP32 GEMM,15.492470999498344,0.3873045668917065
FP32 GEMM,15.492470999498344,0.3873045668917065
FP32 GEMM,15.195723098066004,0.3798860074221424
FP32 GEMM,15.195723098066004,0.3798860074221424
FP32 GEMM,15.492470999498344,0.3873045668917065
FP32 GEMM,15.492470999498344,0.3873045668917065
FP32 GEMM,15.492470999498344,0.3873045668917065
FP32 GEMM,15.492470999498344,0.3873045668917065
FP32 GEMM,9.54518925988334,0.2386252904600043
FP32 GEMM,9.54519816937342,0.23862551319311098
FP32 GEMM,8.795562582533462,0.21988497230088913
FP32 GEMM,8.795419218537237,0.2198813882676857
FP32 GEMM,8.795134611253298,0.21987427321800485
FP32 GEMM,8.795134611253298,0.21987427321800485
FP32 GEMM,8.420477859545262,0.2105080287397655
FP32 GEMM,8.420477859545262,0.2105080287397655
FP32 GEMM,8.79670760501438,0.21991359733017385
FP32 GEMM,8.796692547088464,0.21991322088903187
FP32 GEMM,8.795134611253298,0.21987427321800485
FP32 GEMM,8.795134611253298,0.21987427321800485
FP32 GEMM,9.678880250626579,0.2419675030269221
FP32 GEMM,9.678880250626579,0.2419675030269221
FP32 GEMM,8.796401139379686,0.21990593583189405
FP32 GEMM,8.795541241245948,0.21988443877863062
FP32 GEMM,8.795134611253298,0.21987427321800485
FP32 GEMM,8.795134611253298,0.21987427321800485
FP32 GEMM,9.089818972283728,0.22724124513761315
FP32 GEMM,9.089818972283728,0.22724124513761315
FP32 GEMM,9.759751138587092,0.243989237599587
FP32 GEMM,9.759751138587092,0.243989237599587
FP32 GEMM,9.759751138587092,0.243989237599587
FP32 GEMM,9.759751138587092,0.243989237599587
FP32 GEMM,9.759751138587092,0.243989237599587
FP32 GEMM,9.759751138587092,0.243989237599587
FP32 GEMM,9.759751138587092,0.243989237599587
FP32 GEMM,9.759751138587092,0.243989237599587
FP32 GEMM,15.176453464040145,0.3794042755369713
FP32 GEMM,15.176453464040145,0.3794042755369713
FP32 GEMM,14.884367555427692,0.37210226371884497
FP32 GEMM,14.884367555427692,0.37210226371884497
FP32 GEMM,15.176453464040145,0.3794042755369713
FP32 GEMM,15.176453464040145,0.3794042755369713
FP32 GEMM,15.176453464040145,0.3794042755369713
FP32 GEMM,15.176453464040145,0.3794042755369713
FP32 GEMM,9.318478378277812,0.2329576239003761
FP32 GEMM,9.318453366070466,0.23295699860682975
FP32 GEMM,9.318384208171848,0.232955269691541
FP32 GEMM,9.318384208171848,0.232955269691541
FP32 GEMM,8.914439636961243,0.2228568433523182
FP32 GEMM,8.914439636961243,0.2228568433523182
FP32 GEMM,9.319791055861959,0.2329904402292376
FP32 GEMM,9.319162370709925,0.2329747233929416
FP32 GEMM,9.318384208171848,0.232955269691541
FP32 GEMM,9.318384208171848,0.232955269691541
FP32 GEMM,10.193769070852321,0.25483948397311007
FP32 GEMM,10.193769070852321,0.25483948397311007
FP32 GEMM,9.31910083745521,0.23297318509020293
FP32 GEMM,9.318544452784764,0.2329592757323078
FP32 GEMM,9.318384208171848,0.232955269691541
FP32 GEMM,9.318384208171848,0.232955269691541
FP32 GEMM,9.61693083943945,0.2404187965701016
FP32 GEMM,9.61693083943945,0.2404187965701016
FP32 GEMM,9.562544494010444,0.2390591632384087
FP32 GEMM,9.562301081934455,0.23905307804975998
